[1589, 64.0, 60.7, 61.10, 62.10, 4076]
[1590, 1010.0, 934.0, 934.00, 1,005.00, 3280]
[1591, 18.6, 16.75, 17.15, 17.05, 2733]
[1593, 73.4, 69.3, 70.30, 70.20, 157]
[1595, 38.35, 37.85, 38.30, 38.05, 123]
[1597, 71.3, 70.0, 70.10, 70.10, 153]
[1598, 41.75, 40.65, 41.15, 41.45, 510]
[1599, 39.45, 38.8, 39.40, 38.85, 314]
[1603, 26.6, 26.0, 26.60, 26.15, 854]
[1604, 26.35, 26.05, 26.35, 26.15, 839]
[1605, 48.5, 46.9, 47.90, 47.10, 221877]
[1608, 15.0, 13.7, 14.00, 14.75, 11674]
[1609, 21.1, 20.4, 20.95, 20.65, 14075]
[1611, 13.35, 13.15, 13.30, 13.15, 1564]
[1612, 19.5, 16.85, 16.95, 19.10, 18666]
[1614, 35.9, 35.45, 35.90, 35.60, 71]
[1615, 30.1, 28.2, 28.50, 29.90, 706]
[1616, 7.47, 7.3, 7.37, 7.38, 398]
[1617, 15.15, 14.6, 15.15, 14.95, 197]
[1618, 15.35, 14.75, 15.10, 14.85, 5434]
[1626, 17.4, 16.55, 16.60, 16.90, 328]
[1701, 29.95, 27.1, 29.75, 27.10, 50516]
[1702, 45.35, 44.5, 44.75, 45.30, 868]
[1707, 166.0, 154.0, 166.00, 159.00, 2784]
[1708, 41.7, 39.95, 41.35, 40.70, 10595]
[1709, 22.85, 22.45, 22.70, 22.50, 1514]
[1710, 18.65, 18.3, 18.50, 18.60, 2655]
[1711, 18.8, 18.35, 18.45, 18.40, 2364]
[1712, 37.75, 36.85, 37.40, 37.00, 4376]
[1713, 25.1, 24.85, 25.00, 24.90, 453]
[1714, 8.7, 8.62, 8.67, 8.62, 1876]
[1717, 32.45, 31.85, 31.95, 32.15, 4930]
[1718, 8.66, 8.41, 8.61, 8.42, 11073]
[1720, 57.8, 54.2, 57.80, 54.40, 11409]
[1721, 15.6, 14.85, 14.90, 15.00, 2683]
[1722, 53.8, 53.1, 53.60, 53.60, 5188]
